Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used
Prionace glauca,Blue shark,Carcharhiniformes,Carcharhinidae,4.4,35,139,0.251798561,0.769784173,pelagic-oceanic,500.5,Active predation,minor commercial,N,Y,NT,77,MEDI,1999-2015,2018,Bernardini et al. 2018,Y,2,marine,longline,plastic study (not listed),FTIR,vaguely mentioned,vaguely mentioned
Dicentrarchus labrax,European seabass,Perciformes,Moronidae,3.5,9,40,0.225,0.3,demersal,55,Benthic foraging,commercial,Y,Y,LC,69,NAST E,2014,2018,Bessa et al. 2018,Y,3,marine,beam trawl,plastic study,FTIR,lab blank,yes
Diplodus vulgaris,Common two-banded seabream,Perciformes,Sparidae,3.5,29,40,0.725,3.14,benthopelagic,80,Benthic foraging,commercial,N,Y,LC,48,NAST E,2014,2018,Bessa et al. 2018,Y,3,marine,beam trawl,plastic study (not listed),FTIR,lab blank,yes
Platichthys flesus,Flounder,Pleuronectiformes,Pleuronectidae,3.3,5,40,0.125,0.18,demersal,50,Benthic foraging,commercial,experimental,Y,LC,42,NAST E,2014,2018,Bessa et al. 2018,Y,3,marine,beam trawl,plastic study,FTIR,lab blank,yes
Astronesthes indopacificus,Indo-Pacific snaggletooth,Stomiiformes,Stomiidae,4,2,7,0.285714286,1,bathypelagic,1639,,none,N,N,LC,32,NPSE,2008,2010,Boerger et al. 2010,Y,2,marine,plankton net,plastic study,none,not described,not described
Cololabis saira,Pacific saury,Beloniformes,Scomberesocidae,3.7,18,52,0.346153846,3.2,pelagic-oceanic,115,Particulate feeder,highly commercial,N,N,Not assessed,32,NPSE,2008,2010,Boerger et al. 2010,Y,2,marine,plankton net,plastic study,none,not described,not described
Hygophum reinhardtii,Reinhardt's Lantern fish,Myctophiformes,Myctophidae,3.2,16,45,0.355555556,1.3,bathypelagic,525,Particulate feeder,none,N,N,LC,27,NPSE,2008,2010,Boerger et al. 2010,Y,2,marine,plankton net,plastic study,none,not described,not described
Loweina interrupta,,Myctophiformes,Myctophidae,3.2,10,28,0.357142857,1,bathypelagic,430,Particulate feeder,none,N,N,LC,18,NPSE,2008,2010,Boerger et al. 2010,Y,2,marine,plankton net,plastic study,none,not described,not described
Myctophum aurolaternatum,Golden lanternfish,Myctophiformes,Myctophidae,4.5,161,460,0.35,6,bathypelagic,,Benthic foraging,none,N,N,Not assessed,36,NPSE,2008,2010,Boerger et al. 2010,Y,2,marine,plankton net,plastic study,none,not described,not described
Symbolophorus californiensis,Bigfin lanternfish,Myctophiformes,Myctophidae,3.4,27,78,0.346153846,7.2,pelagic-oceanic,1027,Particulate feeder,none,N,N,Not assessed,28,NPSE,2008,2010,Boerger et al. 2010,Y,2,marine,plankton net,plastic study,none,not described,not described
Lepidopus caudatus,Silver scabbardfish,Perciformes,Trichiuridae,3.8,25,32,0.781,4.72,benthopelagic,200,Active predation,highly commercial,N,Y,DD,53,MEDI,2017,2019,Bottari et al. 2019,Y,3,marine,trawling,plastic study,Raman,open-air lab control,yes
Zeus faber,John dory,Zeiformes,Zeidae,4.5,18,35,0.514,1.77,benthopelagic,100,Active predation,commercial,Y,N,DD,68,MEDI,2017,2019,Bottari et al. 2019,Y,3,marine,trawling,plastic study,Raman,open-air lab control,yes
Trisopterus esmarki,Norway Pout,Gadiformes,Gadidae,3.2,11,20,0.55,,benthopelagic,150,,highly commercial,N,N,LC,26,NECS,2017,2018,Bour et al. 2018,Y,3,marine,trawling,plastic study (not listed),FTIR,lab blank,yes
Enchelyopus cimbrius,Four beard Rockling,Gadiformes,Lotidae,3.5,1,17,0.058823529,,demersal,40,Benthic foraging,minor commercial,N,N,LC,46,NECS,2017,2018,Bour et al. 2018,Y,3,marine,trawling,plastic study (not listed),FTIR,lab blank,yes
Hippoglossoides platessoides,Long rough dab,Pleuronectiformes,Pleuronectidae,4.1,15,20,0.75,,demersal,170,Benthic foraging,highly commercial,N,N,Not assessed,66,NECS,2017,2018,Bour et al. 2018,Y,3,marine,trawling,plastic study (not listed),FTIR,lab blank,yes
Gadus morhua,Atlantic Cod,Gadiformes,Gadidae,4.1,9,302,0.03,0.052,benthopelagic,175,Benthic foraging,highly commercial,Y,Y,VU,65,NECS,2014,2016,Brate et al. 2016,Y,2,marine,"fyke nets, trawling",plastic study (not listed),FTIR,lab blank,yes
Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,3.4,3,164,0.018292683,0.018292683,benthopelagic,200,Filter-feeder: facultative,highly commercial,N,Y,LC,39,NECS,"October 2015, 2016",2018,Budimir et al. 2018,Y,3,marine,trawling,fish market,none,lab blank,yes
Gasterosteus aculeatus,Three-spined stickleback,Gasterosteiformes,Gasterostediae,3.3,0,355,0,0,benthopelagic,50,Benthic foraging,minor commercial,N,N,LC,24,NECS,"October 2015, 2016",2018,Budimir et al. 2018,Y,3,marine,trawling,fish market,none,lab blank,yes
