,Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used,parsed_date,Risk_0_3,Risk_0_5,Risk_0_10,Risk_0pt5_5,Risk_0pt5_10,Risk_1_5,Risk_1_10,Risk_3_10,Risk_5_10
35,Dascyllus trimaculatus,Threespot dascyllus,Perciformes,Pomacentridae,2.8,0.0,2.0,0.0,0.0,reef-associated,28.0,Particulate feeder,minor commercial,N,N,Not assessed,24.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
36,Epinephelus areolatus,Areolate grouper,Perciformes,Serranidae,3.7,1.0,5.0,0.2,0.2,reef-associated,103.0,Benthic foraging,commercial,N,N,LC,36.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
37,Epinephelus chlorostigma,Brownspotted grouper,Perciformes,Serranidae,4.0,1.0,3.0,0.333333333,0.333333333,reef-associated,152.0,Active predation,commercial,N,N,LC,38.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
38,Epinephelus epistictus,Dotted grouper,Perciformes,Serranidae,4.0,1.0,5.0,0.2,0.2,demersal,400.0,Active predation,minor commercial,N,N,LC,57.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
39,Epinephelus radiatus,Oblique-banded grouper,Perciformes,Serranidae,4.0,1.0,7.0,0.142857143,0.142857143,demersal,200.5,Active predation,minor commercial,N,N,LC,61.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
40,Gymnocranius grandoculis,Blue-lined large-eye bream,Perciformes,Lethrinidae,3.8,2.0,10.0,0.2,0.2,reef-associated,95.0,Active predation,minor commercial,N,N,LC,42.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
41,Lethrinus microdon,Smalltooth emperor,Perciformes,Lethrinidae,3.8,2.0,10.0,0.2,0.2,reef-associated,45.0,Benthic foraging,commercial,N,N,LC,46.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
42,Lipocheilus carnolabrum,Tang's snapper,Perciformes,Lutjanidae,3.9,2.0,7.0,0.285714286,0.285714286,demersal,215.0,Benthic foraging,commercial,N,N,LC,50.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
43,Lutjanus kasmira,Common bluestripe snapper,Perciformes,Lutjanidae,3.9,2.0,12.0,0.166666667,0.166666667,reef-associated,90.0,Benthic foraging,commercial,N,Y,LC,40.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
44,Maurolicus mucronatus,,Stomiiformes,Sternoptychidae,3.1,1.0,10.0,0.1,0.1,bathypelagic,,,none,N,N,Not assessed,11.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
45,Naso unicornis,Bluespine unicornfish,Perciformes,Acanthuridae,2.2,0.0,2.0,0.0,0.0,reef-associated,90.5,Grazing,commercial,N,Y,LC,32.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
